CONFIG_END	pc	cacr	tc
CONFIG_END	4081C940	80008000	0000C000
ENABLED_CYCLES	ic	dc	mmu
ENABLED_CYCLES	544636928	544636928	544636928
SUMMARY	cycles	dispatches	clocks_per_dispatch	rd_accept_samples	look_hit_cycles	ipred_hit_cycles
SUMMARY	544636928	82759773	6.580938	54343339	73931572	3357816
STATE	id	cycles	entries	percent
TRANSITION	177	153	16
TRANSITION	178	179	962458
TRANSITION	178	180	137494
TRANSITION	179	178	962458
TRANSITION	180	3	137494
TRANSITION	181	34	15606
TRANSITION	182	10	156
TRANSITION	183	4	12
TRANSITION	183	182	144
TRANSITION	190	3	2058912
TRANSITION	190	4	5832222
TRANSITION	190	9	42388
TRANSITION	190	13	66560
TRANSITION	190	20	5068362
TRANSITION	190	28	134722
TRANSITION	190	51	129300
TRANSITION	190	53	1439556
TRANSITION	190	55	2024
TRANSITION	190	56	62804
TRANSITION	190	65	1845
TRANSITION	190	153	133
TRANSITION	190	181	670
TRANSITION	191	35	12
TRANSITION	250	3	6196
TRANSITION	250	4	19978
TRANSITION	250	9	819927
TRANSITION	250	10	244611
TRANSITION	250	13	180
TRANSITION	250	20	29288
TRANSITION	250	51	3
TRANSITION	250	53	839
TRANSITION	250	56	3
TRANSITION	250	181	160
TRANSITION	250	190	234491
OPCODE	opcode	dispatches	percent
OPCODE	51CA	2327541	2.812406
OPCODE	22C4	2058218	2.486979
OPCODE	F624	1699885	2.053999
OPCODE	4E75	1542465	1.863786
OPCODE	6EFA	1516499	1.832411
OPCODE	2ADC	1284114	1.551616
OPCODE	B041	931530	1.125583
OPCODE	B0B8	915912	1.106712
OPCODE	F623	789053	0.953426
OPCODE	51C9	753552	0.910529
OPCODE	3018	731943	0.884419
OPCODE	B3CA	714814	0.863722
OPCODE	6D06	713039	0.861577
OPCODE	1981	679073	0.820535
OPCODE	B452	664194	0.802557
OPCODE	6DFA	652931	0.788947
OPCODE	B451	634471	0.766642
OPCODE	594A	619360	0.748383
OPCODE	B481	560514	0.677278
OPCODE	6002	550034	0.664615
OPCODE	1018	548992	0.663356
OPCODE	51CE	526678	0.636394
OPCODE	51CD	521323	0.629923
OPCODE	202E	511293	0.617804
OPCODE	3219	491405	0.593773
OPCODE	5043	477745	0.577267
OPCODE	66C0	471718	0.569985
OPCODE	6706	443372	0.535734
OPCODE	22C0	439492	0.531045
OPCODE	5380	424419	0.512832
OPCODE	4258	424006	0.512333
OPCODE	4A11	401358	0.484967
OPCODE	4681	396067	0.478574
OPCODE	4EB0	381852	0.461398
OPCODE	D040	365247	0.441334
OPCODE	0C40	360911	0.436095
OPCODE	2602	358819	0.433567
OPCODE	302E	351726	0.424996
OPCODE	B3D6	349263	0.422020
OPCODE	5849	348058	0.420564
OPCODE	6426	347300	0.419648
OPCODE	2211	345865	0.417914
OPCODE	C282	343256	0.414762
OPCODE	D3C1	343232	0.414733
OPCODE	6E06	340692	0.411664
OPCODE	D8C7	330024	0.398773
OPCODE	2883	325744	0.393602
OPCODE	8685	325744	0.393602
OPCODE	C694	325744	0.393602
OPCODE	BE6E	318997	0.385449
OPCODE	4EBA	313594	0.378921
OPCODE	4E71	313186	0.378428
OPCODE	48E7	311720	0.376656
OPCODE	7A00	311110	0.375919
OPCODE	1A2B	302396	0.365390
OPCODE	6AF8	301149	0.363883
OPCODE	D685	294077	0.355338
OPCODE	4CDF	267333	0.323023
OPCODE	6C04	267229	0.322897
OPCODE	5343	265253	0.320510
OPCODE	34C0	263090	0.317896
OPCODE	51CB	259377	0.313410
OPCODE	4A42	256301	0.309693
OPCODE	2011	255246	0.308418
OPCODE	2480	253016	0.305723
OPCODE	264F	252650	0.305281
OPCODE	22D2	252360	0.304931
OPCODE	342E	251818	0.304276
OPCODE	6708	244349	0.295251
OPCODE	0C50	240579	0.290696
OPCODE	C084	237131	0.286529
OPCODE	6F04	237081	0.286469
OPCODE	34C1	233422	0.282048
OPCODE	72FF	226511	0.273697
OPCODE	9980	226364	0.273519
OPCODE	2040	223945	0.270596
OPCODE	7000	219035	0.264664
OPCODE	246E	214506	0.259191
OPCODE	DA87	212896	0.257246
OPCODE	D986	212895	0.257245
OPCODE	D584	212895	0.257245
OPCODE	91CA	212895	0.257245
OPCODE	D3CA	212895	0.257245
OPCODE	701F	212546	0.256823
OPCODE	4ED4	212221	0.256430
OPCODE	C240	210648	0.254529
OPCODE	E0A9	210079	0.253842
OPCODE	DFAE	209692	0.253374
OPCODE	8081	207086	0.250225
OPCODE	2050	206786	0.249863
OPCODE	6718	205602	0.248432
OPCODE	4A2E	204788	0.247449
OPCODE	4ED0	202010	0.244092
OPCODE	2001	201880	0.243935
OPCODE	76FF	200425	0.242177
OPCODE	48C1	198509	0.239862
OPCODE	D4C0	198445	0.239784
OPCODE	2D41	198232	0.239527
OPCODE	322E	197592	0.238754
OPCODE	2018	196757	0.237745
OPCODE	B058	193725	0.234081
OPCODE	9685	190973	0.230756
OPCODE	9A87	190973	0.230756
OPCODE	9584	190959	0.230739
OPCODE	93CA	190959	0.230739
OPCODE	D1CA	190959	0.230739
OPCODE	9986	190959	0.230739
OPCODE	47EE	186923	0.225862
OPCODE	48C2	186921	0.225860
OPCODE	C0B8	184687	0.223160
OPCODE	4E7B	183892	0.222200
OPCODE	9440	183691	0.221957
OPCODE	B242	183650	0.221907
OPCODE	B46B	183526	0.221757
OPCODE	B26B	183524	0.221755
OPCODE	B05B	183276	0.221455
OPCODE	6C32	182800	0.220880
OPCODE	E1A9	182394	0.220390
OPCODE	C042	182288	0.220262
OPCODE	0240	182260	0.220228
OPCODE	D2C0	181944	0.219846
OPCODE	EA80	181762	0.219626
OPCODE	EA82	181760	0.219624
OPCODE	E2AB	181760	0.219624
OPCODE	E1AA	181760	0.219624
OPCODE	C291	181760	0.219624
OPCODE	4840	181310	0.219080
OPCODE	32D8	178238	0.215368
OPCODE	600C	177409	0.214366
OPCODE	4E5E	175178	0.211670
OPCODE	4E56	175177	0.211669
OPCODE	B042	174984	0.211436
OPCODE	4841	174685	0.211075
OPCODE	6D00	173192	0.209271
OPCODE	206E	170579	0.206113
OPCODE	D1AE	167631	0.202551
OPCODE	226E	166699	0.201425
OPCODE	34FC	161684	0.195365
OPCODE	51C8	160915	0.194436
OPCODE	B26A	159778	0.193062
OPCODE	6DF2	159767	0.193049
OPCODE	B269	154813	0.187063
OPCODE	6EF2	154196	0.186318
OPCODE	0C03	153622	0.185624
OPCODE	2078	152832	0.184669
OPCODE	24C5	150416	0.181750
OPCODE	2010	150306	0.181617
OPCODE	6100	149182	0.180259
OPCODE	2F0A	149093	0.180152
OPCODE	6000	148910	0.179930
OPCODE	4EF9	147318	0.178007
OPCODE	6604	145258	0.175518
OPCODE	245F	144547	0.174659
OPCODE	6606	140840	0.170179
OPCODE	66A0	139407	0.168448
OPCODE	654E	139288	0.168304
OPCODE	205F	138556	0.167420
OPCODE	B380	136502	0.164938
OPCODE	0838	133138	0.160873
OPCODE	6700	131408	0.158782
OPCODE	63D0	128866	0.155711
OPCODE	3228	127960	0.154616
OPCODE	241F	126405	0.152737
OPCODE	2F02	125982	0.152226
OPCODE	0C42	125900	0.152127
OPCODE	20C0	123601	0.149349
OPCODE	246F	122222	0.147683
OPCODE	200B	122146	0.147591
OPCODE	341A	121815	0.147191
OPCODE	2F4A	121815	0.147191
OPCODE	2AC6	121450	0.146750
OPCODE	5542	119280	0.144128
OPCODE	6702	117951	0.142522
OPCODE	6D18	116727	0.141043
OPCODE	B3CC	114602	0.138475
OPCODE	4684	113162	0.136736
OPCODE	284A	112757	0.136246
OPCODE	2819	112038	0.135377
OPCODE	C892	112016	0.135351
OPCODE	CA84	112016	0.135351
OPCODE	8A84	112016	0.135351
OPCODE	B7CC	110510	0.133531
OPCODE	67F4	109946	0.132850
OPCODE	2447	109907	0.132802
OPCODE	3203	108992	0.131697
OPCODE	C283	106875	0.129139
OPCODE	2A06	106391	0.128554
OPCODE	2F2E	105654	0.127663
OPCODE	6600	105143	0.127046
OPCODE	224D	105037	0.126918
OPCODE	6D3C	104814	0.126648
OPCODE	224B	104509	0.126280
OPCODE	2F38	104502	0.126271
OPCODE	DAEE	104006	0.125672
OPCODE	8043	103459	0.125011
OPCODE	E290	103230	0.124735
OPCODE	244C	103185	0.124680
OPCODE	D08C	102356	0.123678
OPCODE	3410	102339	0.123658
OPCODE	225F	101622	0.122792
OPCODE	2008	101316	0.122422
OPCODE	4680	101003	0.122044
OPCODE	2D40	100772	0.121764
OPCODE	5341	99853	0.120654
OPCODE	6704	98721	0.119286
OPCODE	4E74	97359	0.117640
OPCODE	0800	96332	0.116400
OPCODE	2F08	95973	0.115966
OPCODE	48C0	93959	0.113532
OPCODE	2068	93725	0.113249
OPCODE	6734	93029	0.112408
OPCODE	2AC0	92732	0.112050
OPCODE	2228	92094	0.111279
OPCODE	24D9	90069	0.108832
OPCODE	2415	89324	0.107932
OPCODE	672E	89128	0.107695
OPCODE	4A10	87168	0.105327
OPCODE	6714	87076	0.105215
OPCODE	201B	86714	0.104778
OPCODE	282E	86412	0.104413
OPCODE	E9D0	86089	0.104023
OPCODE	2A2E	85703	0.103556
OPCODE	6ECA	83568	0.100977
OPCODE	28C5	83557	0.100963
OPCODE	5240	83129	0.100446
OPCODE	9280	82393	0.099557
OPCODE	B06E	82352	0.099507
OPCODE	3013	82284	0.099425
OPCODE	2C2E	81940	0.099009
OPCODE	5382	81749	0.098779
OPCODE	EFD1	81392	0.098347
OPCODE	2037	81264	0.098193
OPCODE	DC84	81072	0.097961
OPCODE	22D8	80777	0.097604
OPCODE	2C10	80467	0.097230
OPCODE	2003	80107	0.096795
OPCODE	41F6	79518	0.096083
OPCODE	2F70	78965	0.095415
OPCODE	E580	78525	0.094883
OPCODE	6C38	78465	0.094811
OPCODE	0442	78332	0.094650
OPCODE	6DF0	78297	0.094608
OPCODE	48D3	78293	0.094603
OPCODE	545B	78293	0.094603
OPCODE	4CD3	78293	0.094603
OPCODE	6712	78279	0.094586
OPCODE	0C38	77980	0.094225
OPCODE	C684	77568	0.093727
OPCODE	2028	77303	0.093406
OPCODE	8083	77081	0.093138
OPCODE	C091	77081	0.093138
OPCODE	5247	76937	0.092964
OPCODE	286E	76896	0.092915
OPCODE	47FA	76441	0.092365
OPCODE	2619	75706	0.091477
OPCODE	2006	75700	0.091470
OPCODE	6006	75350	0.091047
OPCODE	0830	74496	0.090015
OPCODE	670A	74359	0.089849
OPCODE	D8C6	73491	0.088800
OPCODE	4ED3	73398	0.088688
OPCODE	DAC7	73394	0.088683
OPCODE	600A	72685	0.087826
OPCODE	6404	72010	0.087011
